[00:00.000 --> 00:12.320]  안녕하십니까. 강의 시작하겠습니다.
[14:56.680 --> 15:05.040]  그래서 이렇게 최적 시간 설정과 그리고 최적 정지 시간 설정은 인공신경망으로 한 과업이 되고

[15:05.040 --> 15:09.680]  이게 Supervised Learning의 첫번째 예제 프로젝트가 되겠습니다.

[15:09.680 --> 15:21.200]  이런식으로 해서 실제 기술을 적용한 구간과 그리고 적용하지 않은 구간과 인공신경망의 기술을 적용한 구간의

[15:21.200 --> 15:29.080]  에너지 사용량에 대해서 실제로 조사를 했고 이 건물 같은 경우에는 2층과 3층이

[15:29.080 --> 15:36.560]  동일한 설비 모델로 구성이 되어 있었기 때문에

[15:36.560 --> 15:47.840]  각 기간별 어떤 기간은 실제 알고리즘을 적용한 구간에 대해서

[15:47.840 --> 15:56.360]  에너지를 뽑았고 다른 기간에 대해서는 기존의 알고리즘에 대한 제어 방법으로

[15:56.360 --> 16:05.000]  에너지를 산출한 결과를 뽑아서 비교를 했습니다. 그랬더니 기술을 적용한 구간이 25%

[16:05.000 --> 16:10.480]  에너지 절감을 한 결과를 얻었으며

[16:10.600 --> 16:15.880]  지금도 EMS 모델에는 이 모델이 실려있는 걸로 알고 있습니다.

[16:15.880 --> 16:20.400]  이렇게 Supervised Learning은

[16:20.400 --> 16:31.000]  이런 예측이죠. 근데 예측인데 클래시피케이션 그러니까 O 아니면 X 남 아니면 여 이런 클래시피케이션 문제가 아니고 이 문제는

[16:31.000 --> 16:44.080]  다음 날 혹은 1시간 뒤 1분 뒤에 어떤 온도를 맞출 것이냐 이 공조기를 켰을 때 그렇게 회귀 값에 대해서 회귀에 대한

[16:44.080 --> 16:51.480]  프로젝트를 진행했기 때문에 이거는 앞서 말한 리그레이션에 해당합니다.

[16:53.520 --> 17:01.280]  그리고 제가 아까 말씀드렸던 Supervised Learning이 아니고 Unsupervised Learning 문제인데

[17:01.280 --> 17:08.880]  Unsupervised Learning은 지금 그림에 나와 있듯이 X는 있는데 Y에 대한 값이 없어요. 그러니까

[17:08.880 --> 17:17.640]  유지수는 2개고 방정식은 하나 잖아요. 그러면 이거는 일반적으로 수학을 했을 때

[17:17.640 --> 17:24.280]  할 수 없는 문제로 정의를 합니다. Unsupervised Learning은 보통

[17:24.280 --> 17:31.120]  이런식으로 유사한 그룹끼리 클러스터링, 군집하는 문제가 많은데

[17:31.120 --> 17:42.120]  지금 여기서 그림을 보시면 회색 사람들이 이렇게 있는데 이미대로 녹색 사람들, 파란색, 빨간색, 보라색 이런식으로

[17:42.120 --> 17:53.560]  군집을 시켜놓은 이 녹색, 파란색, 빨간색, 보라색은 어떤 정답, 레이블이 있어서 이렇게 나눈게 아니고

[17:53.560 --> 18:02.640]  그냥 사용자 혹은 데이터에 의해서 이런식으로

[18:02.640 --> 18:10.560]  클러스터링을 한 문제거든요. 클러스터링은 보통

[18:10.560 --> 18:22.120]  이런 쪽 생명 쪽에 막 이렇게 여러개만 지금 어떻게 클래시피케이션을 할 수 없는, 레이블이 없는 이런

[18:22.560 --> 18:29.080]  DNA를 분석할때 그냥 이미대로 이런 색깔의 변화나

[18:29.920 --> 18:37.680]  SD의 밀집도의 변화에 따라서 달라지는 데이터의 양상을 보고 이미대로 클러스터링을 하는 것이

[18:37.680 --> 18:41.720]  또 문제입니다.

[18:41.920 --> 18:50.520]  네 그리고 이런 클러스터링 문제뿐만 아니라 사실 정의할 수 없는 y 값에 대해서 정의할 수 없는 문제에 대해서도

[18:51.520 --> 18:59.160]  Unsupervised learning이 들어가는데 제가 저번에 설명했던 프로젝트 중에서 FDD, Fault Detection and Diagnosis라는

[18:59.160 --> 19:08.760]  프로젝트가 있는데 이거는 설비 쪽의 고장진단에 대한 프로젝트인데 사실 설비의 고장진단을 그냥 만약에 설비

[19:08.760 --> 19:17.760]  서플라이펜이나 급기펜, 그러니까 급기펜이 고장났다고 했으면 급기펜 내부의 상태를 점검해주면 제일 빠른 방법이지만

[19:17.760 --> 19:26.280]  그러지 말고 서플라이펜과 연계된 이런 온도 센서나 압력 센서 등을 다 보면서

[19:26.280 --> 19:33.960]  온도 센서가 이상한데 이게 서플라이펜 문제가 아니고 만약에 힛 익스체인저, 열교환기 문제 혹은

[19:33.960 --> 19:44.920]  댐포대 문제 이런 식으로 찾아주는게 이 과제였는데 사실 온도 하나 혹은 압력 하나 혹은 유량계나 풍량계의 값에 따라서

[19:44.920 --> 19:55.440]  그런 특정 성분에 대한 분석을 추출하는게 굉장히 힘듭니다. 그리고 이 고장에 대한 정도를 정해준 것이 아니기 때문에

[19:55.440 --> 20:04.600]  이거는 정답이 없는 Unlabeled한 문제이기 때문에 이건 Unsupervised Learning과 Semi-Supervised Learning이라고 하는데

[20:04.600 --> 20:12.280]  Supervised Learning이지만 어떤 문제를 정의할 수 없는 구간구간에 대해서 Unsupervised Learning으로 프리트레이닝 그러니까

[20:12.280 --> 20:21.680]  미리 트레이닝을 한 모델을 들고 와서 수행을 합니다. 이거는 제가 또 다음 시간에 좀 더 자세히

[20:21.680 --> 20:30.040]  Python 스크립트나 한번 알고 있으면 제가 제대로 설명을 할 기회가 있으면 설명을 해드리도록 하는데

[20:30.040 --> 20:39.600]  아무튼 이 문제도 Unsupervised Learning과 그러니까 Deep Belief Network과 Unsupervised Learning 플러스 그리고 이제 Supervised Learning으로

[20:39.600 --> 20:52.960]  고장 진단을 한 프로젝트인데 임의대로 고장에 대한 데이터는 Modelica라는 시뮬레이션 툴을 사용해서 만들고

[20:52.960 --> 21:04.200]  정상은 그냥 일반적인 정상 데이터를 받아서 만들어서 이 두개를 Machine Learning Framework에 학습을 시켜서

[21:04.240 --> 21:12.800]  임의의 데이터가 들어왔을 때 이것이 고장인지 혹은 고장이 아닌지 고장이면 어떤 고장인지를 판단하는 프로젝트가 되겠습니다.

[21:12.800 --> 21:18.760]  이런 식으로 하나하나의 레이어별로

[21:18.760 --> 21:29.720]  이건 조금 어려운 내용인데 레이어별로 이런 레이블이 없기 때문에 레이어별로의 그 레이블을 임의대로 설정해주는 Unsupervised Learning인데

[21:29.720 --> 21:39.960]  이거는 기회가 되면 제가 나중에 설명을 드리고 혹은 시간이 없으면 제가 이 관련된 논문을 올려드리도록 하겠습니다.

[21:39.960 --> 21:48.880]  이게 RBM 이라는 레이어를 사용한 모델인데 이거는 캐나다의 정말 유명한 교수인 흰등 교수가

[21:48.880 --> 21:58.800]  그 당시에 이 논문을 발표함으로써 엄청난 주목도 받았고 Restrict Boltzmann Machine 모델을 사용해서

[21:58.800 --> 22:10.360]  이렇게 정의할 수 없는 레이블에 대한 레이어별로 이렇게 Unsupervised Learning을 하면서 결국에는 Supervised Learning을 위한 프레임워크를 짠 구조인데

[22:10.360 --> 22:16.120]  아무튼 이런 식으로 각각의 정의할 수 없는 데이터에 대해서

[22:16.120 --> 22:25.440]  수행한 프로젝트입니다. 이거는 결과는 저번 PPT에서 다 했으니까 보시면 될 것 같고

[22:25.480 --> 22:33.600]  이거는 Unsupervised Learning의 프로젝트가 아니고 Supervised Learning 프로젝트인데

[22:33.600 --> 22:39.760]  이것도 좀 설명을 드리면 이게 왜 Supervised Learning의 프로젝트냐면

[22:39.760 --> 22:50.480]  이거는 태양광 예측에 대한 모듈을 생성하는 건데 태양광 예측을 Recurrent Neural Network로 수행을 해서

[22:50.480 --> 23:01.160]  아침시간 혹은 저녁시간 혹은 내일 그리고 비올때, 맑을때 예보 데이터를 통해서 태양광을 예측하는

[23:01.160 --> 23:06.480]  리그레이션에 해당하는 모델을 수행한 프로젝트입니다.

[23:07.680 --> 23:19.400]  이거는 예전 현대건설연구소 Green Smart Innovation Center를 대상으로 태양광 예측 모델을 만든거고

[23:20.400 --> 23:29.000]  데이터는 이런 식으로 추출을 해서 이런 식으로가 어떤 식이냐면

[23:29.480 --> 23:35.280]  우리나라 예보 데이터가 히스토릭 데이터를 따로 저장하지 않는데 그래서

[23:35.280 --> 23:45.520]  2014년 9월부터 계속 데이터를 모아뒀었어요. 그래서 2016년 11월까지 계속 모아두고

[23:45.520 --> 23:55.360]  2017년 9월까지 계속 모아두면서 예보 데이터에 대한 데이터를 개더링하고

[23:55.360 --> 24:02.920]  그리고 보시면 알겠지만 이게 3시간 단위로밖에 데이터를 받을 수 없어서

[24:02.920 --> 24:12.080]  각각의 그러니까 3시간에 따른 예측은 너무 타임 갭이 크기 때문에 1시간 혹은 30분으로

[24:12.080 --> 24:23.040]  인터폴레이션 보감법을 통해서 데이터를 생성해서 학습을 했습니다. 예보 데이터 보감법이란게 뭐냐면 만약에 0시에서 7시까지

[24:23.040 --> 24:35.400]  데이터가 있으면 1시, 2시에 대한 데이터는 없잖아요? 그럼 1시, 2시에 대한 데이터를 0시, 3시 혹은 앞선 21시, 0시, 3시 이런 식으로

[24:35.400 --> 24:45.560]  데이터의 경향을 보면서 가운데 시간에 대한 데이터를 추출하는게 보감법이라고 생각하시면 됩니다. 보감법은 데이터 인터폴레이션이라고

[24:45.560 --> 24:56.040]  얘기를 하는데 그런식으로 해서 데이터를 만들고 이 데이터를 학습해서 각각 시간에 맞는 태양강 예측 값을 찾아내는 프로젝트였습니다.

[24:56.040 --> 25:05.240]  예보 값은 풍향, 풍속, 외기, 습도, 하이코드라고

[25:05.240 --> 25:11.400]  맑을 때는 0이고 흐릴 때는 4 이런식으로 숫자를 나타내면서

[25:11.400 --> 25:19.240]  맑음과 흐림 그리고 비올 때의 값을 뿌려주는 값이고 프리스펙테이션은 강수량 그리고 리프트는

[25:19.240 --> 25:28.160]  태양고도 값인데 이런식으로 값을 받아서 태양강 생산량을 예측하는 프로젝트를 수행했습니다.

[25:28.160 --> 25:34.320]  물론 공조기의 온오프 시간은 당연히 데이터로 넣었구요.

[25:34.680 --> 25:42.920]  그랬을 때 뉴럴넷 덕후가 소프트웨크 머신 그리고 리콘트 뉴럴넷 그리고 다른 머신러닝 방법을 썼을 때

[25:42.920 --> 25:48.080]  리콘트 뉴럴넷이 가장 좋은 결과를 냈고

[25:48.120 --> 25:58.040]  타임 시리즈한 데이터라는 시간에 따라 들어오는 데이터를 타임 시리즈한 데이터라고 하는데

[25:58.040 --> 26:07.960]  타임 시리즈한 데이터를 학습할 때는 리콘트 뉴럴넷 덕후의 개념 계열의 LSTM이나 그리고 GRU 이런 모델을 사용했고

[26:07.960 --> 26:23.880]  지금은 트랜스포머나 레즈넷 이런 모델을 많이 사용합니다.

[26:23.880 --> 26:29.880]  그런식으로 해서 수행을 했던 프로젝트고

[26:29.920 --> 26:37.880]  그랬을 때 태양강 생산량 뿐만 아니라 에너지 소비량도 예측을 했는데

[26:37.880 --> 26:45.320]  에너지 소비량은 오피스 특징을 잘 생각하시면 이거는 예측을 하기가 쉽거든요

[26:45.320 --> 26:54.120]  이렇게 꺾인 점은 당연히 점유시간에 에너지를 잘 안쓰기 때문에 이런식으로 나오는 그래프가 많았고

[26:54.120 --> 27:00.240]  그래서 에너지 소비량 같은 경우에는 굉장히 예측하기 쉬웠는데

[27:00.240 --> 27:06.560]  태양강 생산량은 정말 예측이 좀 힘든 부분이 많았습니다.

[27:06.560 --> 27:16.240]  워낙 예보 데이터가 그렇게 좋지 않아서 비오는 날과 흐린 날의 경우에는 잘 예측을 못하는 경우가 많았는데

[27:16.240 --> 27:25.720]  이거는 제가 나중에 어떤 방법론을 썼는지는 자세히 말할 수 있는 시간이 있으면 말해드리도록 하겠습니다.

[27:25.720 --> 27:31.040]  이게 드랍아웃 제가 설명을 드릴 때 한번 설명을 드리도록 하겠습니다.

[27:31.040 --> 27:37.520]  드랍아웃은 뉴럴레터워크를 설명할 때 자세히 설명을 드리도록 하겠습니다.

[27:39.280 --> 27:44.320]  그리고 이제 하나 남았는데 강학습에 대해서 설명을 하려고 하는데

[27:44.360 --> 27:58.760]  2015년 네이처지에 이례적으로 비생명 분야에서 처음으로 네이처 표지를 장식한 논문이 있었는데

[27:58.760 --> 28:09.640]  이게 알파구 논문인데 이게 네이처지에 표지를 장식하면서 AI 시대가 열렸다고 보면 될 것 같아요.

[28:09.640 --> 28:20.840]  이 알파구에 들어간 알고리즘이 강학습이고 현재도 정말 강학습에 대한 논문들이 많이 나오고 있고

[28:20.840 --> 28:28.200]  어떻게 보면 현재 트렌디한 리서치 토픽이라고 생각하시면 됩니다.

[28:29.160 --> 28:39.720]  강학습은 일반적인 슈퍼바이즈드 러닝과 언슈퍼바이즈드 러닝과는 좀 다른 개념인데

[28:39.720 --> 28:48.200]  왜냐하면 슈퍼바이즈드 러닝과 언슈퍼바이즈드 러닝은 어쨌든 어떤 특정한 fx에 대해서

[28:48.360 --> 28:57.800]  와인 fx를 계속 만들어줬을 때 fx와 실제 fx와 계속 만들어주는 fx 간의 로스트험을 계속 미니마이즈 해야 되는데

[28:57.800 --> 29:09.240]  강학습은 이 리워드 값을 그러니까 어떤 액션을 취해줬을 때의 보상을 맥시마이즈 하는 쪽으로 학습을 하는 것이 기존과는 조금 달라요.

[29:09.320 --> 29:12.120]  예를들면

[29:14.840 --> 29:25.480]  에이전트라고 불리는 바둑이라고 생각하면 알파고라는 에이전트가 어떠한 바둑 액션을 줬을 때

[29:25.480 --> 29:36.680]  그 환경에 대한 변화가 나중에 몇 집 차이로 이길지에 대한 리워드 이런 보상이 계속 커지게 그러니까 꼭 이길 수 있도록

[29:36.680 --> 29:39.240]  리워드가

[29:39.560 --> 29:46.200]  맥시마이즈 되도록 학습을 하는게 강학습입니다.

[29:46.200 --> 29:55.880]  알파고 예를 들어보면 보통 알파고는 만약에 논문을 조금 읽어보시면

